,Study_ID|Celltype_1,Study_ID|Celltype_2,Mean_AUROC,Match_type
0,Zeng|24690,Macosko|Ex_Lhx9_Slc38a11_6,1.0,Reciprocal_top_hit
1,Zeng|4058,Macosko|Ex_Hmx3_Npbwr1,1.0,Reciprocal_top_hit
2,Zeng|1288,Macosko|Inh_Tmem200a_Esr2,1.0,Reciprocal_top_hit
3,Zeng|3857,Macosko|Inh_Pax5_Gdf10_2,1.0,Reciprocal_top_hit
4,Zeng|2986,Macosko|Inh_Pax3_Vmn1r207_5,1.0,Reciprocal_top_hit
5,Zeng|5158,Macosko|Ex_Gabra6_Gabrd,1.0,Reciprocal_top_hit
6,Zeng|3967,Macosko|NorEx_Phox2b_Ppara_2,1.0,Reciprocal_top_hit
7,Zeng|3007,Macosko|Inh_Pax7_Vmn1r207_7,1.0,Reciprocal_top_hit
8,Zeng|2989,Macosko|Inh_Pax3_Vmn1r207_3,1.0,Reciprocal_top_hit
9,Zeng|3847,Macosko|Ex_Onecut2_Hmx3_Adamtsl3_2,1.0,Reciprocal_top_hit
10,Zeng|4263,Macosko|Ex_Phox2b_Bmp3_3,1.0,Reciprocal_top_hit
11,Zeng|3140,Macosko|Inh_Pax5_Slc12a7_2,1.0,Reciprocal_top_hit
12,Zeng|3097,Macosko|Ex_Vsx2_Tspo2_2,1.0,Reciprocal_top_hit
13,Zeng|3921,Macosko|Ex_Phox2b_Slc39a12_2,1.0,Reciprocal_top_hit
14,Zeng|1374,Macosko|Inh_Vip_Trim55_1,1.0,Reciprocal_top_hit
15,Zeng|3169,Macosko|Inh_Six3_Fgf15,1.0,Reciprocal_top_hit
16,Zeng|4457,Macosko|Inh_Pax2_Olfr372_1,1.0,Reciprocal_top_hit
17,Zeng|3862,Macosko|Inh_Pax5_Olig3_2,1.0,Reciprocal_top_hit
18,Zeng|977,Macosko|Ex_Abi3bp_Hcrtr2,1.0,Reciprocal_top_hit
19,Zeng|4392,Macosko|Inh_Hoxc4_F5_1,1.0,Reciprocal_top_hit
20,Zeng|3358,Macosko|Inh_Pax5_Pgr15l_2,1.0,Reciprocal_top_hit
21,Zeng|2252,Macosko|Ex_Slc12a7_Krt19,1.0,Reciprocal_top_hit
22,Zeng|949,Macosko|Inh_Sp8_Spp1_1,1.0,Reciprocal_top_hit
23,Zeng|3963,Macosko|Ex_Phox2b_Adora2a,1.0,Reciprocal_top_hit
24,Zeng|2985,Macosko|Inh_Pax3_Vmn1r207_2,1.0,Reciprocal_top_hit
25,Zeng|3950,Macosko|Ex_Phox2b_Ghsr_2,1.0,Reciprocal_top_hit
26,Zeng|4204,Macosko|Inh_Pax2_6430628N08Rik_4,1.0,Reciprocal_top_hit
27,Zeng|3923,Macosko|Ex_Phox2b_Slc39a12_1,1.0,Reciprocal_top_hit
28,Zeng|4050,Macosko|CholEx_Fbxl7_Defa24,1.0,Reciprocal_top_hit
29,Zeng|4390,Macosko|Inh_Hoxc4_Abcc9_1,1.0,Reciprocal_top_hit
30,Zeng|3968,Macosko|NorEx_Phox2b_Tmem45a2_1,1.0,Reciprocal_top_hit
31,Zeng|3971,Macosko|NorEx_Phox2b_Ppara_1,1.0,Reciprocal_top_hit
32,Zeng|3942,Macosko|Ex_Phox2b_Hhip_1,1.0,Reciprocal_top_hit
33,Macosko|Inh_Pax2_6430628N08Rik_3,Zeng|4204,1.0,Above_0.99
34,Zeng|24598,Macosko|Ex_Pax2_Erfl_2,1.0,Reciprocal_top_hit
35,Zeng|3354,Macosko|Inh_Pax5_Il20ra,1.0,Reciprocal_top_hit
36,Zeng|4336,Macosko|Ex_Ebf2_Ddit4l_1,1.0,Reciprocal_top_hit
37,Zeng|4337,Macosko|Ex_Ebf2_Ddit4l_3,1.0,Reciprocal_top_hit
38,Zeng|2417,Macosko|ExInh_Lmx1b_Nmu_2,1.0,Reciprocal_top_hit
39,Zeng|1194,Macosko|Inh_Isl1_Drd1_Folh1_1,1.0,Reciprocal_top_hit
40,Zeng|3970,Macosko|Ex_Phox2b_Olfr560_1,1.0,Reciprocal_top_hit
41,Zeng|1289,Macosko|Inh_Vwc2l_Colq,1.0,Reciprocal_top_hit
42,Zeng|2988,Macosko|Inh_Pax3_Vmn1r207_4,1.0,Reciprocal_top_hit
43,Macosko|ExInh_Lmx1b_Card14,Zeng|2417,1.0,Above_0.99
44,Zeng|3972,Macosko|NorEx_Phox2b_Gch1,1.0,Reciprocal_top_hit
45,Macosko|Inh_Pax7_Nhlh1,Zeng|3007,1.0,Above_0.99
46,Macosko|NorEx_Phox2b_Tmem45a2_2,Zeng|3968,1.0,Above_0.99
47,Zeng|3977,Macosko|Inh_Foxp2_Tmem233_3,1.0,Reciprocal_top_hit
48,Zeng|1284,Macosko|Inh_Frmd7_Zim1,1.0,Reciprocal_top_hit
49,Zeng|1379,Macosko|Inh_Creb5_Ror1_2,1.0,Reciprocal_top_hit
50,Zeng|994,Macosko|Inh_Pax6_Eya4_1,1.0,Reciprocal_top_hit
51,Zeng|4335,Macosko|Ex_Ebf2_C1qtnf7_1,1.0,Reciprocal_top_hit
52,Macosko|Inh_Pax2_6430628N08Rik_5,Zeng|4204,1.0,Above_0.99
53,Zeng|2885,Macosko|Ex_Pou4f1_Fads2b_2,1.0,Reciprocal_top_hit
54,Zeng|3934,Macosko|NorEx_Phox2b_Pmnt_1,1.0,Reciprocal_top_hit
55,Zeng|4245,Macosko|Ex_Lmx1b_Dynap_4,1.0,Reciprocal_top_hit
56,Zeng|2983,Macosko|Inh_Pax7_Nhlh1,1.0,Above_0.99
57,Zeng|4283,Macosko|Ex_Pax5_Ggta1_2,1.0,Reciprocal_top_hit
58,Zeng|1381,Macosko|Inh_Creb5_Ror1_1,1.0,Reciprocal_top_hit
59,Zeng|2602,Macosko|Ex_Lhx9_Nps,1.0,Reciprocal_top_hit
60,Zeng|1281,Macosko|Inh_Vwc2l_Otogl1_2,1.0,Reciprocal_top_hit
61,Zeng|1605,Macosko|Ex_Onecut3_Spag16_3,1.0,Reciprocal_top_hit
62,Zeng|4203,Macosko|Inh_Pax2_6430628N08Rik_2,1.0,Reciprocal_top_hit
63,Zeng|2670,Macosko|CholEx_Tcf24_Oxtr,1.0,Reciprocal_top_hit
64,Zeng|4456,Macosko|Inh_Pax2_Krt17_2,1.0,Reciprocal_top_hit
65,Zeng|4231,Macosko|Ex_Ebf2_Sec1_1,1.0,Reciprocal_top_hit
66,Zeng|2775,Macosko|Ex_Lmx1b_Cd36_2,1.0,Reciprocal_top_hit
67,Zeng|3962,Macosko|NorEx_Phox2b_Gch1,1.0,Above_0.99
68,Zeng|3966,Macosko|NorEx_Phox2b_Gfral_2,1.0,Reciprocal_top_hit
69,Zeng|3166,Macosko|Inh_Gata3_Ucn3,1.0,Reciprocal_top_hit
70,Zeng|4205,Macosko|Inh_Pax2_6430628N08Rik_3,1.0,Above_0.99
71,Zeng|3953,Macosko|Ex_Phox2b_Dbh_1,1.0,Reciprocal_top_hit
72,Zeng|3021,Macosko|Ex_Vsx2_Cdc42ep5,1.0,Reciprocal_top_hit
73,Zeng|2265,Macosko|Ex_Otx2_Sapcd1,1.0,Reciprocal_top_hit
74,Zeng|4345,Macosko|Ex_Ebf2_Nat8f6_2,1.0,Reciprocal_top_hit
75,Zeng|4344,Macosko|Ex_Ebf2_Nat8f6_1,1.0,Reciprocal_top_hit
76,Zeng|4267,Macosko|Ex_Pax5_Npbwr1,1.0,Reciprocal_top_hit
77,Macosko|Ex_Ebf2_Ucn3_1,Zeng|4344,1.0,Above_0.99
78,Zeng|3969,Macosko|Ex_Pou4f2_Olfr560_2,1.0,Reciprocal_top_hit
79,Zeng|1286,Macosko|Inh_Frm7_Otop1_2,1.0,Reciprocal_top_hit
80,Zeng|4384,Macosko|Inh_Hoxc4_Chrdl2_2,1.0,Reciprocal_top_hit
81,Zeng|4232,Macosko|Ex_Ebf2_Sec1_4,1.0,Reciprocal_top_hit
82,Zeng|4208,Macosko|Inh_Pax2_Kirrel2_1,1.0,Reciprocal_top_hit
83,Zeng|1836,Macosko|Inh_Pde11a_Pgm5_6,1.0,Reciprocal_top_hit
84,Zeng|3965,Macosko|NorEx_Phox2b_Gfral_2,1.0,Above_0.99
85,Zeng|2984,Macosko|Inh_Pax3_Vmn1r207_7,1.0,Reciprocal_top_hit
86,Macosko|Inh_Pax2_Olfr372_2,Zeng|4456,1.0,Above_0.99
87,Macosko|Ex_Phox2b_Olfr560_2,Zeng|3969,1.0,Above_0.99
88,Zeng|3943,Macosko|Ex_Phox2b_Dkk2_3,1.0,Reciprocal_top_hit
89,Zeng|4387,Macosko|Inh_Hoxc4_Fbln2_1,1.0,Reciprocal_top_hit
90,Zeng|2413,Macosko|DopEx_Calb1_Lpl_1,1.0,Reciprocal_top_hit
91,Zeng|2400,Macosko|DopEx_Calb1_Col6a5,1.0,Reciprocal_top_hit
92,Macosko|NorEx_Phox2b_Gfral_4,Zeng|3965,1.0,Above_0.99
93,Zeng|1285,Macosko|Inh_Vwc2l_Otogl1_3,1.0,Reciprocal_top_hit
94,Zeng|4333,Macosko|Ex_Ebf2_Fer1l6_1,1.0,Reciprocal_top_hit
95,Zeng|2987,Macosko|Inh_Pax3_Vmn1r207_4,1.0,Above_0.99
96,Zeng|3915,Macosko|NorEx_Phox2b_Gfral_1,1.0,Reciprocal_top_hit
97,Zeng|4391,Macosko|Inh_Hoxc4_F5_2,1.0,Reciprocal_top_hit
98,Zeng|4385,Macosko|Inh_Hoxc4_F5_2,1.0,Above_0.99
99,Zeng|4340,Macosko|Ex_Ebf2_Rxfp1,1.0,Reciprocal_top_hit
100,Macosko|Inh_Hoxc4_Abcc9_2,Zeng|4390,1.0,Above_0.99
101,Zeng|2836,Macosko|Ser_Fev_Siglec15,1.0,Reciprocal_top_hit
102,Zeng|4459,Macosko|Inh_Pax2_Glp1r_3,1.0,Reciprocal_top_hit
103,Zeng|3029,Macosko|Ex_Nkx6-1_Vsx2_1,1.0,Reciprocal_top_hit
104,Zeng|3001,Macosko|Inh_Pax7_P2ry10b_3,1.0,Reciprocal_top_hit
105,Zeng|3103,Macosko|Ex_Vsx2_Ghrh_2,1.0,Reciprocal_top_hit
106,Macosko|Ex_Phox2b_Cd36,Zeng|3942,1.0,Above_0.99
107,Zeng|3956,Macosko|Ex_Phox2a_Qrfpr,1.0,Reciprocal_top_hit
108,Zeng|2396,Macosko|DopEx_Calb1_Aqp1,1.0,Reciprocal_top_hit
109,Zeng|3951,Macosko|Ex_Phox2b_Dbh_4,1.0,Reciprocal_top_hit
110,Zeng|3973,Macosko|NorEx_Phox2b_Ppara_1,1.0,Above_0.99
111,Zeng|34321,Macosko|Inh_Tfap2b_Gabrq_1,1.0,Reciprocal_top_hit
112,Zeng|4312,Macosko|Ex_Phox2b_Bmp3_2,1.0,Reciprocal_top_hit
113,Zeng|3868,Macosko|Ex_C1ql4_Nostrin,1.0,Reciprocal_top_hit
114,Zeng|3472,Macosko|Inh_Otx2_Bmp4_1,1.0,Reciprocal_top_hit
115,Zeng|34197,Macosko|Inh_Foxl3_Apela,1.0,Reciprocal_top_hit
116,Zeng|3930,Macosko|Ex_Phox2b_Zbbx_Nts_1,1.0,Reciprocal_top_hit
117,Zeng|3894,Macosko|Chol_Tbx20_S100a11_4,1.0,Reciprocal_top_hit
118,Macosko|Inh_Pax2_Olfr920_2,Zeng|4205,1.0,Above_0.99
119,Zeng|4330,Macosko|Ex_Ebf2_Gask1b_1,1.0,Reciprocal_top_hit
120,Zeng|2664,Macosko|Ex_C1ql4_Drd1_7,1.0,Reciprocal_top_hit
121,Zeng|34342,Macosko|Inh_Pax2_Igfbpl1_2,1.0,Reciprocal_top_hit
122,Macosko|Ex_Ebf2_Ucn3_2,Zeng|4345,1.0,Above_0.99
123,Zeng|4209,Macosko|Inh_Pax2_Hrob_6,1.0,Reciprocal_top_hit
124,Zeng|4410,Macosko|Inh_Pax2_Igfbp4,1.0,Reciprocal_top_hit
125,Zeng|2776,Macosko|Ex_Lmx1b_Cd36_2,1.0,Above_0.99
126,Zeng|3891,Macosko|NorEx_Phox2b_Tmem45a2_2,1.0,Above_0.99
127,Zeng|4153,Macosko|Inh_Tfap2a_Nxf7,1.0,Reciprocal_top_hit
128,Zeng|4389,Macosko|Inh_Hoxc4_Abcc9_4,1.0,Reciprocal_top_hit
129,Zeng|990,Macosko|Inh_Pax6_Eya4_3,1.0,Reciprocal_top_hit
130,Zeng|2909,Macosko|Ex_Pou4f1_Insrr,1.0,Reciprocal_top_hit
131,Zeng|4433,Macosko|Inh_Pax2_Postn_2,1.0,Reciprocal_top_hit
132,Zeng|571,Macosko|CholInh_Ecel1_Nid1,1.0,Reciprocal_top_hit
133,Zeng|4381,Macosko|Inh_Hoxc4_Chrdl2_3,1.0,Reciprocal_top_hit
